,Movie_title,Year,Genre,Average_Rating,Tomatometer,RT_link,Audience_Rating,RT_link,IMDb,IMDb_link,Letterboxd,LB_link,Metascore,Ms_link
78,Once Upon a Time in the West,1968,Western,89,98,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west/,95,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west/,85,https://www.imdb.com/title/tt0064116,87,https://flickmetrix.com/#,80,https://flickmetrix.com/#
79,Rosemary's Baby,1968,"Drama, Horror",89,99,https://www.rottentomatoes.com/search/?search=Rosemary%27s%20Baby,87,https://www.rottentomatoes.com/search/?search=Rosemary%27s%20Baby,80,https://www.imdb.com/title/tt0063522,83,https://flickmetrix.com/#,96,https://flickmetrix.com/#
80,A Streetcar Named Desire,1951,Drama,89,98,https://www.rottentomatoes.com/m/1020333_streetcar_named_desire,90,https://www.rottentomatoes.com/m/1020333_streetcar_named_desire,80,https://www.imdb.com/title/tt0044081,80,https://flickmetrix.com/#,96,https://flickmetrix.com/#
81,Aliens,1986,"Action, Adventure, Sci-Fi, Thriller",89,99,https://www.rottentomatoes.com/m/1000617-aliens/,94,https://www.rottentomatoes.com/m/1000617-aliens/,84,https://www.imdb.com/title/tt0090605,83,https://flickmetrix.com/#,84,https://flickmetrix.com/#
82,One Flew Over the Cuckoo's Nest,1975,Drama,89,95,https://www.rottentomatoes.com/search/?search=One%20Flew%20Over%20the%20Cuckoo%27s%20Nest,96,https://www.rottentomatoes.com/search/?search=One%20Flew%20Over%20the%20Cuckoo%27s%20Nest,87,https://www.imdb.com/title/tt0073486,86,https://flickmetrix.com/#,80,https://flickmetrix.com/#
83,Raging Bull,1980,"Biography, Drama, Sport",89,95,https://www.rottentomatoes.com/m/raging_bull/,93,https://www.rottentomatoes.com/m/raging_bull/,82,https://www.imdb.com/title/tt0081398,85,https://flickmetrix.com/#,89,https://flickmetrix.com/#
84,Spotlight,2015,"Crime, Drama, History",89,97,https://www.rottentomatoes.com/m/spotlight_2015/,93,https://www.rottentomatoes.com/m/spotlight_2015/,81,https://www.imdb.com/title/tt1895587,80,https://flickmetrix.com/#,93,https://flickmetrix.com/#
85,The Look of Silence,2014,"Documentary, Biography, History",89,96,https://www.rottentomatoes.com/m/the_look_of_silence/,89,https://www.rottentomatoes.com/m/the_look_of_silence/,83,https://www.imdb.com/title/tt3521134,84,https://flickmetrix.com/#,92,https://flickmetrix.com/#
86,The Pianist,2002,"Biography, Drama, Music, War",89,96,https://www.rottentomatoes.com/search/?search=The%20Pianist,95,https://www.rottentomatoes.com/search/?search=The%20Pianist,85,https://www.imdb.com/title/tt0253474,83,https://flickmetrix.com/#,85,https://flickmetrix.com/#
87,12 Years a Slave,2013,"Biography, Drama, History",89,95,https://www.rottentomatoes.com/m/12_years_a_slave/,90,https://www.rottentomatoes.com/m/12_years_a_slave/,81,https://www.imdb.com/title/tt2024544,81,https://flickmetrix.com/#,96,https://flickmetrix.com/#
